Координати,Вид кофа,Брой,Състояние,
42.7081752598629,23.3725160625447,1100,2,,
42.7064345029862,23.373542012617,1100,1,ДОБРО,
42.7080723426897,23.3836805131549,1100,2,,
42.7095719206012,23.3389952432488,1100,2,,
42.7083889248729,23.3828586079867,1100,2,,
42.7064674978599,23.3933893044918,1100,9,ДОБРО,
42.7086998469864,23.3788475255859,1100,3,,
42.7086287615525,23.3798347190633,1100,1,,
42.7090771067541,23.3938562356154,1100,1,,
42.7087326940261,23.3879352680255,1100,1,ДОБРО,
42.7143289067751,23.3847740091537,1100,3,,
42.7092785600268,23.3603514519267,1100,2,,
42.709366120074,23.3639731994228,1100,1,,
42.7090441850549,23.3432089173536,1100,1,,
42.70893037712,23.3492709982915,1100,3,,
42.7089257232539,23.354526780678,1100,1,,
42.7087213365882,23.343586547595,1100,1,,
42.7088865580874,23.3456016766947,1100,3,,
42.7090811529987,23.3611389024667,1100,1,ДОБРО,
42.6988939367994,23.3724079761515,110,3,,
42.7098035853191,23.3487494355742,1100,3,,
42.709825142369,23.3460470649304,1100,2,,
42.7103374297809,23.3771732588934,1100,1,,
42.7099058653062,23.3870577178047,1100,2,,
42.7095678368834,23.3569486117053,1100,5,ДОБРО,
42.7098025484106,23.3720930769941,1100,2,ДОБРО,
42.7100800589907,23.3652308920657,1100,1,,
42.7102710232952,23.3704462907118,1100,3,,
42.7098411752588,23.3602632585459,1100,1,ДОБРО,
42.712208848529,23.3800111768166,1100,3,,
42.7108595775935,23.3802017100016,1100,1,,
42.7108307956667,23.3802060921784,1100,1,,
42.7119586680548,23.3808688336432,1100,3,,
42.7114081759902,23.3804161832541,1100,1,,
42.7122758008399,23.3843608061266,1100,1,,
42.711908153321,23.3825056251155,1100,1,ДОБРО,
42.7141963485286,23.3853993530926,1100,2,,
42.7125341332374,23.3896944870978,1100,2,,
42.711383368427,23.3855182133347,1100,2,,
42.7133853201456,23.3796376204789,1100,3,,
42.7149977504637,23.3792519230095,1100,1,,
42.6991483268066,23.3754440560829,110,5,,
42.6996870468006,23.3755229160779,110,4,,
42.6995893868016,23.3754742260796,110,2,,
42.6988718568096,23.3753991260856,110,4,,
42.6987176068113,23.3753877260868,110,4,,
42.6986025268125,23.3753588460882,110,3,,
42.7018096047773,23.370511252982,1100,1,ДОБРО,
42.7009647713968,23.3727459743833,1100,1,ДОБРО,
42.700383016793,23.3756348660711,110,3,,
42.7002783167941,23.3755975060726,110,2,,
42.7000223367968,23.3755207660759,110,2,,
42.6993148968047,23.3754460660819,110,3,,
42.6992124768154,23.3783091760193,110,2,,
42.6991808368159,23.3783356860189,110,3,,
42.6989471668188,23.3784083560187,110,2,,
42.69884959682,23.3784351860187,110,3,,
42.6996304368203,23.3812081059527,1100,2,,
42.6994728068265,23.3825364259243,1100,6,,
42.6997652968154,23.3801925459743,1100,3,,
42.7019963267972,23.3824315659112,1100,1,,
42.7012052867995,23.3804052559608,1100,1,,
42.7012884668001,23.3808536459504,1100,2,,
42.7008083368096,23.3820551859268,1100,1,,
42.7007938968088,23.381778215933,1100,1,,
42.7018659532665,23.3818163518379,1100,1,ДОБРО,
42.7017561257875,23.3812146880131,1100,1,ДОБРО,
42.7000684368307,23.3858494858475,1100,1,,
42.7024448068006,23.3849996558517,1100,3,,
42.7017005168068,23.3842985058718,1100,2,,
42.6999646468246,23.3836442658969,1100,2,,
42.7007001177491,23.3845735634785,1100,2,ДОБРО,
42.7013525867939,23.3792402559856,1100,1,,
42.702432866786,23.3805700159496,1100,1,,
42.7025037867816,23.3795193659724,1100,1,,
42.7011966017052,23.3781158290301,1100,2,ДОБРО,
42.700682646789,23.3754564360732,110,2,,
42.702537056771,23.3764582860397,1100,2,,
42.7017598967771,23.3755984060635,1100,3,,
42.7028701767633,23.375266516064,1100,2,,
42.7037693267744,23.3817131259161,1100,2,,
42.7034436767685,23.3788121259822,1100,3,,
42.7035059767777,23.381794135916,1100,1,,
42.7032336467678,23.377885576004,1100,1,,
42.698026146811,23.3729108861457,1100,1,,
42.6979742768079,23.3718009361706,1100,2,,
42.6977778667899,23.365719996306,1100,1,,
42.6976728068032,23.3693674162262,1100,1,,
42.6975006367969,23.3668753762822,1100,2,,
42.6975061667862,23.3636837363527,1100,2,,
42.6974677853975,23.3556930315481,1100,2,ДОБРО,
42.6987369567913,23.3694595762176,1100,3,,
42.6986632367962,23.3706595761915,1100,2,,
42.6982911067835,23.3655898663058,1100,1,,
42.6981965967812,23.3645590563291,1100,2,,
42.6962636268164,23.3684600262548,1100,2,,
42.6973405968116,23.3707373261979,1100,1,,
42.6969454468025,23.3666395062908,1100,1,,
42.6972255167964,23.3657696363083,1100,2,,
42.6973937968063,23.3693089162292,1100,1,,
42.6987604167834,23.3671536262684,1100,2,,
42.6988841467845,23.3679123062509,1100,3,,
42.6980490567763,23.3625817563737,1100,2,,
42.6987641646866,23.3604966350364,1100,2,ДОБРО,
42.6968640868322,23.375261736101,1100,3,,
42.6979037968203,23.3752806460942,110,3,,
42.6978320268211,23.3752745960947,110,4,,
42.6920863468875,23.3753923561274,1100,4,,
42.6983811568121,23.3744528761095,1100,1,,
42.6981364368177,23.3752996960923,1100,1,,
42.6984098668089,23.3735898461284,1100,1,,
42.6971123168211,23.3727805361542,110,3,,
42.6975776868166,23.3730610961452,1100,1,,
42.696962006823,23.3728509461536,110,2,,
42.6967446668259,23.3729709661523,1100,1,,
42.6968326668248,23.3729291261527,110,2,,
42.6963602368313,23.3732756661479,110,2,,
42.6967004668283,23.3735304761402,1100,1,,
42.6963011168324,23.3733919761457,1100,1,,
42.696239986833,23.3733554561469,110,2,,
42.6955254368406,23.3731624561555,240,1,,
42.6952972568418,23.3727537561659,1100,1,,
